,0,1
0,point_timestamp,point_value
1,2019-07-14,6
2,2019-07-15,7
3,2019-07-16,6
4,2019-07-17,6
5,2019-07-18,7
6,2019-07-19,6
7,2019-07-20,7
8,2019-07-21,6
9,2019-07-22,6
10,2019-07-23,6
11,2019-07-24,6
12,2019-07-25,6
13,2019-07-26,6
14,2019-07-27,6
15,2019-07-28,6
16,2019-07-29,6
17,2019-07-30,6
18,2019-07-31,7
19,2019-08-01,6
20,2019-08-02,6
21,2019-08-03,6
22,2019-08-04,6
23,2019-08-05,7
24,2019-08-06,6
25,2019-08-07,6
26,2019-08-08,6
27,2019-08-09,6
28,2019-08-10,6
29,2019-08-11,6
30,2019-08-12,7
31,2019-08-13,6
32,2019-08-14,7
33,2019-08-15,6
34,2019-08-16,7
35,2019-08-17,7
36,2019-08-18,6
37,2019-08-19,7
38,2019-08-20,6
39,2019-08-21,7
40,2019-08-22,7
41,2019-08-23,6
42,2019-08-24,6
43,2019-08-25,6
44,2019-08-26,6
45,2019-08-27,7
46,2019-08-28,6
47,2019-08-29,6
48,2019-08-30,7
49,2019-08-31,6
50,2019-09-01,6
51,2019-09-02,6
52,2019-09-03,6
53,2019-09-04,7
54,2019-09-05,6
55,2019-09-06,7
56,2019-09-07,7
57,2019-09-08,6
58,2019-09-09,7
59,2019-09-10,7
60,2019-09-11,6
61,2019-09-12,6
62,2019-09-13,6
63,2019-09-14,6
64,2019-09-15,6
65,2019-09-16,6
66,2019-09-17,6
67,2019-09-18,8
68,2019-09-19,7
69,2019-09-20,6
70,2019-09-21,6
71,2019-09-22,7
72,2019-09-23,8
73,2019-09-24,7
74,2019-09-25,6
75,2019-09-26,6
76,2019-09-27,6
77,2019-09-28,7
78,2019-09-29,6
79,2019-09-30,6
80,2019-10-01,6
81,2019-10-02,6
82,2019-10-03,6
83,2019-10-04,7
84,2019-10-05,6
85,2019-10-06,7
86,2019-10-07,7
87,2019-10-08,6
88,2019-10-09,6
89,2019-10-10,7
90,2019-10-11,6
91,2019-10-12,6
92,2019-10-13,6
93,2019-10-14,8
94,2019-10-15,8
95,2019-10-16,8
96,2019-10-17,6
97,2019-10-18,7
98,2019-10-19,6
99,2019-10-20,6
100,2019-10-21,8
101,2019-10-22,6
102,2019-10-23,7
103,2019-10-24,7
104,2019-10-25,8
105,2019-10-26,7
106,2019-10-27,8
107,2019-10-28,7
108,2019-10-29,7
109,2019-10-30,8
110,2019-10-31,8
111,2019-11-01,7
112,2019-11-02,8
113,2019-11-03,7
114,2019-11-04,7
